Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
Meeting Target,0.86,0.86,0.84
Exceeding Target,0.88,0.87,0.77
Meeting Target,0.94,0.94,0.92
Exceeding Target,0.74,0.77,0.81
Exceeding Target,0.93,0.88,0.86
Exceeding Target,0.92,0.91,0.8
Meeting Target,0.82,0.78,0.76
Exceeding Target,0.91,0.89,0.79
Exceeding Target,0.91,0.92,0.9
Exceeding Target,0.78,0.76,0.81
Exceeding Target,0.78,0.74,0.71
Exceeding Target,0.84,0.87,0.75
Meeting Target,0.85,0.79,0.75
Exceeding Target,0.88,0.83,0.72
Exceeding Target,0.84,0.85,0.77
Exceeding Target,0.9,0.92,0.79
Exceeding Target,0.92,0.76,0.86
Exceeding Target,0.93,0.93,0.92
Approaching Target,0.77,0.83,0.8
Meeting Target,0.87,0.84,0.83
Exceeding Target,0.91,0.89,0.83
Exceeding Target,0.95,0.9,0.88
Exceeding Target,0.85,0.88,0.69
Exceeding Target,0.96,0.96,0.95
Exceeding Target,0.85,0.76,0.88
Exceeding Target,0.83,0.86,0.82
Exceeding Target,0.93,0.91,0.86
Exceeding Target,0.84,0.9,0.78
Exceeding Target,0.9,0.86,0.85
Exceeding Target,0.9,0.94,0.8
Exceeding Target,0.97,0.97,0.89
Exceeding Target,0.93,0.94,0.93
Exceeding Target,0.92,0.9,0.9
Exceeding Target,0.92,0.93,0.84
Approaching Target,0.84,0.9,0.79
Meeting Target,0.81,0.88,0.89
Meeting Target,0.9,0.92,0.89
Exceeding Target,0.75,0.74,0.62
Exceeding Target,0.86,0.8,0.86
Exceeding Target,0.9,0.93,0.8
Exceeding Target,0.85,0.86,0.86
Exceeding Target,0.96,0.95,0.92
Meeting Target,0.81,0.88,0.79
Meeting Target,0.76,0.7,0.74
Exceeding Target,0.91,0.91,0.86
Meeting Target,0.9,0.89,0.77
Meeting Target,0.87,0.87,0.82
Exceeding Target,0.88,0.88,0.78
Exceeding Target,0.99,0.98,0.96
Exceeding Target,0.74,0.72,0.7
Approaching Target,0.8,0.73,0.69
Exceeding Target,0.74,0.72,0.76
Meeting Target,0.72,0.78,0.62
Exceeding Target,0.89,0.96,0.68
Exceeding Target,0.7,0.57,0.63
Exceeding Target,0.85,0.9,0.71
Meeting Target,0.85,0.82,0.83
Approaching Target,0.95,0.95,0.91
Meeting Target,0.73,0.58,0.59
Meeting Target,0.92,0.97,0.89
Exceeding Target,0.9,0.93,0.91
Meeting Target,0.63,0.67,0.66
Meeting Target,0.8,0.78,0.8
Meeting Target,0.74,0.71,0.75
Exceeding Target,0.92,0.92,0.79
Exceeding Target,0.85,0.87,0.87
Exceeding Target,0.87,0.88,0.88
Meeting Target,0.89,0.87,0.78
Meeting Target,0.85,0.82,0.78
Exceeding Target,0.85,0.89,0.73
Meeting Target,0.86,0.87,0.76
Exceeding Target,0.84,0.84,0.84
Exceeding Target,0.92,0.9,0.91
