Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
4,0.7,0.57,0.63
4,0.85,0.9,0.71
3,0.85,0.82,0.83
2,0.95,0.95,0.91
3,0.73,0.58,0.59
3,0.92,0.97,0.89
4,0.9,0.93,0.91
3,0.63,0.67,0.66
3,0.8,0.78,0.8
3,0.74,0.71,0.75
4,0.92,0.92,0.79
4,0.85,0.87,0.87
4,0.87,0.88,0.88
3,0.89,0.87,0.78
3,0.85,0.82,0.78
4,0.85,0.89,0.73
3,0.86,0.87,0.76
4,0.84,0.84,0.84
4,0.92,0.9,0.91
4,0.87,0.81,0.73
4,0.9,0.91,0.89
4,0.82,0.76,0.68
4,0.9,0.95,0.93
2,0.75,0.77,0.69
4,0.83,0.84,0.86
4,0.88,0.89,0.9
2,0.69,0.61,0.56
4,0.93,0.95,0.94
3,0.91,0.88,0.72
3,0.91,0.88,0.91
3,0.75,0.78,0.69
3,0.78,0.87,0.71
2,0.77,0.7,0.68
3,0.82,0.77,0.72
2,0.75,0.75,0.59
3,0.88,0.96,0.81
3,0.79,0.85,0.7
2,0.76,0.81,0.72
3,0.91,0.87,0.8
3,0.72,0.77,0.71
2,0.8,0.75,0.67
2,0.81,0.87,0.59
3,0.91,0.87,0.77
2,0.67,0.56,0.63
2,0.73,0.62,0.75
3,0.91,0.95,0.8
3,0.72,0.54,0.58
3,0.79,0.83,0.69
2,0.88,0.84,0.73
3,0.95,0.93,0.89
3,0.87,0.81,0.77
2,0.84,0.96,0.78
3,0.85,0.77,0.81
4,0.94,0.93,0.89
3,0.78,0.78,0.63
4,0.86,0.79,0.75
4,0.86,0.83,0.88
3,0.83,0.85,0.86
2,0.76,0.77,0.71
3,0.88,0.83,0.85
4,0.86,0.84,0.84
3,0.9,0.9,0.8
4,0.82,0.7,0.81
3,0.8,0.72,0.74
3,0.82,0.86,0.81
3,0.89,0.86,0.83
4,0.79,0.74,0.72
3,0.75,0.83,0.71
4,0.87,0.86,0.81
3,0.86,0.86,0.76
2,0.72,0.75,0.74
3,0.77,0.69,0.75
3,0.84,0.86,0.82
4,0.82,0.8,0.75
4,0.84,0.76,0.84
3,0.93,0.9,0.87
3,0.82,0.76,0.74
3,0.86,0.81,0.76
3,0.88,0.84,0.74
2,0.73,0.71,0.72
3,0.88,0.9,0.81
3,0.78,0.78,0.79
4,0.87,0.88,0.86
3,0.92,0.94,0.91
4,0.86,0.79,0.84
2,0.76,0.78,0.84
3,0.9,0.92,0.78
3,0.82,0.79,0.79
4,0.94,0.87,0.79
4,0.94,0.92,0.92
4,0.82,0.8,0.79
4,0.85,0.9,0.88
4,0.93,0.92,0.91
4,0.81,0.8,0.89
3,0.86,0.87,0.77
3,0.85,0.81,0.84
